id,group,name,level,label,detail
swcldc,3,Southwest Corridor Land Development Coalition,2,SWCC,"After the 1972 highway moratorium victory, an umbrella organization called the Southwest Corridor Land Development Coalition was set up among neighborhood and activist groups, with the goal of redesigning the Southwest Corridor in a way that benefited those who lived nearby. The group worked closely with the architecture and planning firm Stull & Lee."
stulllee,3,Stull & Lee,1,Stull&Lee,Stull & Lee was the architecture and planning firm responsible for the redesign of the Southwest Corridor. They worked closely with residents and grassroots organizations.
fed,6,United States Federal Government,3,USA,"The Federal Government was responsible for passing the Federal Aid Highway Act of 1956, allowing for the funding of the interstate highway system."
mass,6,Massachusetts Government,3,Massachusetts,The Massachusetts State Government was the setting for lobbying and protesting to convince governors to reconsider highways.
dpw,6,Department of Public Works,3,DPW,"The Department of Public Works, responsible for planning and building highways throughout Massachusetts, was the key player that stayed staunchly pro-highway until the end of the fight. The DPW saw the protests and re-studies as getting in the way of efficient construction."
bos,6,Boston Government,3,Boston,"The Boston Government was a place of lobbying and protest for the anti-highway activists along the Southwest Corridor. With the help of Jamaica Plain residents, most of the Boston City Council adopted an anti-highway stance during this movement."
bra,6,Boston Redevelopment Authority,3,BRA,"The Boston Redevelopment Authority spearheaded much of the urban renewal in Boston and was generally sympathetic to highway building. It was headed by Ed Logue between 1960 and 1967, and anti-highway planners like Fred Salvucci, Tunney Lee, and Denis Blackett also worked there at this time."
camb,6,Cambridge Government,3,Cambridge,"The Cambridge Government was a place of lobbying and protest for the anti-Inner Belt activists. With the help of Urban Planning Aid and Save Our Cities Committee, most of the Cambridge City Council adopted an anti-highway stance during this movement."
btpr,6,Boston Transportation Planning Review,2,BTPR,"The Boston Transportation Planning Review was a special committee appointed by Sargent after his 1970 address to restudy transportation for the entire Commonwealth. Jack Wofford headed this restudy. The idea for this review board and Sargent's 1970 address came out of an earlier private task force, also appointed by Sargent, that Altshuler headed and Wofford was a member of. The BTPR recommended a stop on all highway building in the metro area, as announced by Sargent in 1972."
turner,1,Chuck Turner,4,Turner,"Chuck Turner was the chairman of the Blac United Front, and he worked to unite the black residents of the South End, Roxbury, and Dorchester together in protest of the Southwest Expressway. He started Operation STOP and was the chairman of the Greater Boston Committee for a few years."
fox,1,Gloria Fox,4,Fox,Gloria Fox was involved in both the Boston United Front and Operation STOP. She would go on to become the state respresentative for the 7th Suffok District.
durant,1,Lenny Durant,4,Durant,Lenny Durant was the office manager and first paid staff of the Boston Black United Front and was involved in the anti-highway movement through Operation STOP.
brown,1,Khadijah Brown,4,Brown,Khadijah Brown was involved with both the Boston Black United Front and Operation STOP.
king,1,Mel King,4,King,"Mel King was the director of the Urban League. A known figure in black activism community, he helped convene a broad spectrum of activist groups and civil rights organizations to public meetings against the highways. King would go on to undertake many roles in the Boston area, including state representative, MIT adjunct professor, community organizer, and non-profit founder."
hardwick,1,Floyd Hardwick,4,Hardwick,Floyd Hardwick was the Captain of Education of the Boston Chapter of the Black Panther Party in the 1960s. He played a role as a community organizer for the anti-highway movement.
hershfang,2,Ann Hershfang,4,Hershfang,"Ann Hershfang headed the Boston League of Women Voters's transportation committee, which studied the Inner Belt route and came out with an anti-highway stance. She also helped set up the Tubman Area Planning Council in the South End and was active in the Southwest Corridor Land Development Coalition. Lastly she worked under Fred Salvucci as the undersecretary of the Department of Transportation."
cooper,2,Ila Cooper,4,Cooper,Ila Cooper was a part of the Boston League of Women Voters's transportation subcommittee and worked to bring the League to an anti-highway stance.
cole,3,Ann Mae Cole,4,Cole,"Ann Mae Cole was a Bromley Heath resident who was a part of the incorporation of the public housing complex into a tenant management corporation. Along with other residents, she aided in the redesign of the Southwest Corridor."
hailey,3,Mildred Hailey,4,Hailey,"Mildred Hailey was a Bromley Heath resident who was a part of the incorporation of the public housing complex into a tenant management corporation. Along with other residents, she aided in the redesign of the Southwest Corridor."
mcmanus,4,Father Paul McManus,4,McManus,Father Paul McManus was an anti-Inner Belt organizer and served on the citizens' advisory committee for the restudy of Inner Belt routes. 
corrigan,4,Father Thomas Corrigan,4,Corrigan,Father Thomas Corrigan was active in Jamaica Plain in its protest against the Southwest Expressway. He also served as the chair of the Greater Boston Committee on the Transportation Crisis for a few years.
goodman,4,Robert Goodman,4,Goodman,Robert Goodman was an MIT professor of architecture. He was a part of the Cambridge Committee on the Inner Belt and a founding member of Urban Planning Aid.
peattie,4,Lisa Peattie,4,Peattie,Lisa Peattie was a professor of urban anthropology at MIT and was active in the Cambridge anti-Inner Belt movement.
salvucci,4,Fred Salvucci,4,Salvucci,"Fred Salvucci was an MIT-educated planner at the Boston Redevelopment Authority who founded the Cambridge Committee on the Inner Belt and Urban Planning Aid. He, along with other advocate-planners, conducted many studies refuting those of highway engineers, and lobbied the state and local governments. Salvucci would become the state Secretary of Transportation, overseeing the expansion of public transit and the redesign of the Southwest Corridor."
altshuler,4,Alan Altshuler,4,Altshuler,"Alan Altshuler was an MIT professor of political science involved in the highway conflict. Governor Sargent appointed him to be the head of a private task force to advise him on what to do regarding placing a moratorium on highway building. His task force came to a conclusion that a complete review of Boston's transportation priorities was needed, leading to the creation of the Boston Transportation Planning Review."
tlee,4,Tunney Lee,4,T. Lee,"Tunney Lee was a planner at the Boston Redevelopment Authority who founded the Cambridge Committee on the Inner Belt and Urban Planning Aid. He, along with other advocate-planners, conducted many studies refuting those of highway engineers, and lobbied the state and local governments."
hartman,4,Chester Hartman,4,Hartman,Chester Hartman was an associate professor of city planning at Harvard. He was a part of the Cambridge Committee on the Inner Belt and a founding member of Urban Planning Aid.
fellman,4,Gordan Fellman,4,Fellman,Gordan Fellman was a sociologist who joined the Cambridge Committee on the Inner Belt and help found Urban Planning Aid.
blackett,4,Denis Blackett,4,Blackett,Denis Blackett was an architect involved in the Cambridge Committee on the Inner Belt and the founding of Urban Planning Aid.
morey,4,Jim Morey,4,Morey,"Jim Morey is a systems analyst-turned-advocate who joined and became the executive director of Urban Planning Aid. He was helpful in guiding the Jamaica Plain Expressway Committee residents to conducting their own studies of the elevated highway and lobbying the city. He also founded the Greater Boston Committee on the Transportation Crisis, uniting the groups around Boston together under one anti-highway goal."
ackerley,5,Bill Ackerley,4,Ackerley,Bill Ackerley was a retired Cambridgeport businessmen who was one of the leaders of the Save Our Cities Committee.
benfield,5,Ansti Benfield,4,Benfield,Ansti Benfield was a Boston University student who was one of the leaders of the Save Our Cities Committee.
kruckemeyer,5,Ken Kruckemeyer,4,Kruckemeyer,Ken Kruckemeyer was an architect who formed the Tubman Area Planning Council with his fellow South End residents to restudy and lobby against the Southwest Expressway. He also helped the grassroots effor to redesign the Southwest Corridor after the highway moratorium.
yoneoka,5,Brad Yoneoka,4,Yoneoka,Brad Yoneoka was a community organizer living in the South End. He was an active leader in the Greater Boston Committee on the Transportation Crisis.
teichner,5,Steve Teichner,4,Teichner,Steve Teichner was a part of the Greater Boston Committee on the Transportation Crisis and put together bills and policies for the GBC that were proposed in the state legislature.
frosenbaum,3,Femke Rosenbaum,4,F. Rosenbaum,Femke and Peter Rosenbaum were Jamaica Plain residents who were involved in the redesign of Southwest Corridor Park.
prosenbaum,3,Peter Rosenbaum,4,P. Rosenbaum,Femke and Peter Rosenbaum were Jamaica Plain residents who were involved in the redesign of Southwest Corridor Park.
dlee,3,David Lee,4,D. Lee,David Lee was the lead architect from the firm Stull & Lee for the the Southwest Corridor Project.
eisenhower,6,President Dwight Eisenhower,4,Eisenhower,"President Eisenhower, after witnessing the inferiority of American roads to the German Autobahn during World War II, spearheaded the effort to build an interstate highway system stateside. During his presidency, the Federal Aid Highway Act of 1956 was passed, giving large amounts of funding to every state for highway building."
nixon,6,President Richard Nixon,4,Nixon,President Nixon played an indirect role in the highway story by selecting John Volpe (who was then governor of Massachusetts) to be his Secretary of Transportation.
volpe,6,John Volpe,4,Volpe,"John Volpe was the governor of Massachusetts between 1965 and 1969 and then was appointed US Secretary of Transportation by Nixon. Though Volpe originally had a strong pro-highway stance, public opinion shifted his views to allow for restudy of routes and eventually using highway funding to support mass transit."
oneill,6,Tip O'Neill,4,O'Neill,"Tip O'Neill was the Congressman representing North Boston who transitioned from being Majority Whip to Majority Leader around the end of the anti-highway movement. He was supportive of the anti-highway cause, since many houses in his district would have been demolished to make room for the expressway. He helped get legislation allowing for highway money to be used for public transit through the House."
brooke,6,Ed Brooke,4,Brooke,Ed Brooke was a Senator for Massachusetts and helped advocate in the Senate for highway funding to be used for public transit projects.
sargent,6,Francis Sargent,4,Sargent,"Francis Sargent was governor of Massachusetts from 1969 to 1975. Sargent was known as a conservationist, but also served as the head of the State Department of Public Works before being Volpe's lieutenant governor. As governor, Sargent called for a stop to highway building and urge the federal government to allow for usage of highway funding for mass transit. Initially more-supportive-than-not of highways, he appointed tasks forces that helped him understand how they might not be needed, and his conservationist side eventually led him to an anti-highway stance. "
kramer,6,Al Kramer,4,Kramer,Al Kramer was Governor Sargent's urban affairs aid and was instrumental in interfacing with both the Greater Boston Committee on the Transportation Crisis and Boston City Hall to coordinate efforts on the highway moratorium.
ribbs,6,Edward Ribbs,4,Ribbs,Edward Ribbs was the commissioner of the Department of Public Works during the anti-highway movement. He was staunchly pro-highway and wanted to minimize re-studies and rerouting in order to efficiently build the planned highways.
pangaro,6,Tony Pangaro,4,Pangaro,Tony Pangaro was appointed by Fred Salvucci as the project coordinator and lead architect of the Southwest Corridor redesign and rebuild.
white,6,Kevin White,4,White,"Kevin White was mayor throughout most of the anti-highway story, from 1968 to 1984. He ran an unsuccessful campaign against Sargent for governorship in 1970, but the race led both of them to adopt a more anti-highway stance. He urged Governor Sargent to call for a moratorium on highway building."
frank,6,Barney Frank,4,Frank,Barney Frank was Mayor White's executive assistant and interfaced with state and local groups to push White to urge Sargent for a moratorium. 
logue,6,Ed Logue,4,Logue,"Ed Logue was the head of the Boston Redevelopment Authority. The BRA was generally sympathetic to highway-building, but Logue also had a goal of distancing himself and BRA away from the urban renewal tragedies of the past."
gray,6,Justin Gray,4,Gray,Justin Gray was the assistant city manager of Cambridge. He was also an advocate-planner working closely with the GBC and the state and Boston governments to push against highways.
ackermann,6,Barbara Ackermann,4,Ackermann,"Barbara Ackermann was a Cambridge activist-turned-politician and served on the school board, then city council, then became mayor; she was active in the fight against the Inner Belt."
wofford,6,Jack Wofford,4,Wofford,Jack Wofford was the head of the Boston Transportation Planning Review and a part of Sargent's private task force that led to the planning review. He steered the study towards calling for a stop for all highway building in the Boston area.
